Question,Answer
مجھے پاکستان کے صدر کے بارے میں بتاؤ؟,ممنون حسین پاکستان کا صدر ہے
پاکستان کا صدر کون ہے؟,ممنون حسین پاکستان کا صدر ہے
پاکستان کا صدر کون ہے؟,ممنون حسین پاکستان کا صدر ہے
پاکستان میں سب سے بڑی درآمد,مشینری پاکستان کی سب سے بڑی درآمد ہے
پاکستان میں عام دریا کیا ہیں؟,دریا سوتیل راوی چناب اور انڈیا پاکستان میں عام دریا ہیں
جو پاکستان کا صدر ہے,ممنون حسین پاکستان کا صدر ہے
بونیا چیک کیا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
میں کون ہوں؟,تم ایک اچھے انسان ہو
پاکستان کے قومی ہمت کا نام کیا ہے؟,چاکور پاکستان کی قومی نوعیت ہے
پاکستان میں کچھ تاریخی مقامات کا نام؟,آپ کے سوال کے بارے میں زیادہ خاص ہو
دفاع کا دن کب ہے؟,6 ستمبر دفاعی دن ہے
پاکستان کے بانی؟,قائداعظم پاکستان کا بانی ہے
کیوں پاکستان توانائی بحران ہے,ڈیموں کی تعداد میں کمی کی وجہ سے
کیوں دن دن دہشت گردی بڑھ رہی ہے؟,ہماری غریب قیادت کی وجہ سے
جو پاکستان کا وزیر اعظم ہے,شیخ کھان ابابید پاکستان کے موجودہ وزیر اعظم ہیں
پاکستان کا بانی کون تھا؟,قائداعظم پاکستان کا بانی ہے
بی ایم ڈبلیو کے بانی؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا بانی کون ہے؟,قائداعظم پاکستان کا بانی ہے
فوج کا عملہ کون ہے؟,قمر جاوید بھووا آرمی چیف ہیں
جس نے پاکستان قائم کیا,قائداعظم پاکستان کا بانی ہے
آرمی کون ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی یونیورسٹیوں کے درمیان فاسٹ کہاں ہے؟,یہ پاکستان میں سب سے اوپر یونیورسٹیوں میں سے ایک ہے
پاکستان کی قومی کاٹنے کا نشان؟,علامہ اقبال پاکستان کا قومی شاعر ہے
گلگت بلٹستان کے سب کو کونسا مقام ملا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کے سب سے اوپر 3 یونیورسٹیوں؟,فاسٹ مورچا لگے پاکستان کے 3 اعلی یونیورسٹیوں ہیں
مجھے پاکستان کے سب سے اوپر 3 یونین کے بارے میں بتاؤ؟,فاسٹ مورچا لگے پاکستان کے 3 اعلی یونیورسٹیوں ہیں
پاکستان کے سب سے اوپر 3 یونیورسٹییں کیا ہیں؟,فاسٹ مورچا لگے پاکستان کے 3 اعلی یونیورسٹیوں ہیں
پاکستان کی کرنسی؟,روپیہ
مجھے پاکستان کی کرنسی کے بارے میں بتاؤ؟,روپیہ
پاکستان کی کرنسی کیا ہے,روپیہ
چاکور,یہ پاکستان کی قومی نسل ہے
پی پی,شاہد ققان پاکستان کا وزیر اعظم ابیسی
پاکستان کے امیدوار کا نام؟,شاہد ققان پاکستان کا وزیر اعظم ابیسی
پاکستان کا وزیر اعظم کون ہے؟,شاہد ققان پاکستان کا وزیر اعظم ابیسی
پاکستان کا قومی نشان؟,بہت سے قومی نشان موجود ہیں تو زیادہ خاص ہو
پاکستان میں دفاع کا دن کب منایا جاتا ہے,6 ستمبر کی تاریخ ہے جب ہم دفاعی دن کا جشن مناتے ہیں
میں یاسی ہوں اب مجھے بتاو میں کون ہوں,یاسین
پاکستان کی کرنسی کیا ہے؟,روپیہ پاکستان کی کرنسی ہے
جو پاکستان کے تعلیمی وزیر ہے,میر ہزار خان ببریانی تعلیم کے وزیر ہیں
پاکستان کا عدلیہ,اس سے اپ کا کیا مطلب ہے
جو پاکستان کا صدر ہے,ممنون حسین پاکستان کا صدر ہے
1947 میں پاکستان میں کتنے عام انتخابات کیے گئے ہیں,تقریبا 18
پاکستان کا قومی نشان؟,بہت سے قومی نشان موجود ہیں لہذا آپ کے سوال کے بارے میں زیادہ خاص ہو
پاکستان میں خوراک,زیادہ مخصوص ہو
پاکستان میں کتنے یونیورسٹی ہیں؟,١٨٣
پاکستان میں کتنے ندی ہیں؟,پاکستان میں بہت سارے دریا ہیں
زلزلہ,اس سے اپ کا کیا مطلب ہے
بھٹی صاحب کا بیٹا,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
قائد اعظم کون جناح تھے؟,وہ پاکستانی بانی ہے
قائد اعظم کون جناح تھے؟,وہ پاکستانی بانی ہے
پاکستان کا بہترین وکیل؟,اکرم شیخ پاکستان کے عظیم وکیلوں پر ہے
پاکستان کی کیا زبانیں ہیں؟,آپ کے سوال کے بارے میں زیادہ خاص ہو
مجھے پاکستان کی زبانوں کے بارے میں بتاؤ؟,آپ کے سوال کے بارے میں زیادہ خاص ہو
پاکستان کی زبانیں,آپ کے سوال کے بارے میں زیادہ خاص ہو
لہر کے بہترین تاریخی مقامات کون ہیں؟,بہرشاہ مسجد لہر میں واقع بہترین تاریخی مقامات ہے
پاکستان کی قومی برادری؟,چکھر ڈریج پاکستان کی قومی برادری ہے
مجھے پاکستان کے قومی پرندوں کے بارے میں بتاؤ؟,چکھر ڈریج پاکستان کی قومی برادری ہے
پاکستان کی قومی برادری کون ہے؟,چکھر ڈریج پاکستان کی قومی برادری ہے
پاکستان میں عام کھیل کیا ہیں؟,کرکٹ پاکستان میں سب سے عام کھیل ہے
پاکستان کی قومی برادری کیا ہے؟,چکھر ڈریج پاکستان کی قومی برادری ہے
پاکستان کی قومی برادری کا نام؟,چکھر ڈریج پاکستان کی قومی برادری ہے
قومی بولی؟,چکھر ڈریج پاکستان کی قومی برادری ہے
کرکٹ,اس سے اپ کا کیا مطلب ہے
قومی بولی؟,چکھر ڈریج پاکستان کی قومی برادری ہے
جو 1971 میں مشترکہ انتخاب تھا,ٹیل
قومی برادری,چکھر ڈریج پاکستان کی قومی برادری ہے
پاکستان کا جرم کون ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
اسامہ آباد کے موسم کے مقابلے میں لاہور کی موسم کس طرح ہے؟,اس کی موازنہ اس کے مقابلے میں ہے
پاکستان کی قومی خوراک کیا ہے؟,باریانی پاکستانی قومی خوراک ہے
جی ہاں,ٹھیک ہے
پاکستان کا قومی کھیل کونسا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان میں آنے والی بہترین جگہیں کونسا ہیں؟,شمالی علاقوں میں پاکستان کے دورے کے لئے بہترین مقامات ہیں
مجھے پاکستان کے تاریخی مقامات کے بارے میں بتاؤ؟,پاکستان کے چند تاریخی مقامات بدوشیہ مسجد موینجو ڈارون ہیں
پاکستان میں ٹرافی علاقوں,خطے جہاں پاکستان میں برف فالس (علاقہ: آزاد کشمیر، گلگت بلتستان، انتہائی شمالی پنجاب، خیبر پختونخواہ صوبہ اور شمالی بلوچستان کا شمالی نصف
پاکستان کے مشہور شہر؟,کراچی پاکستان کا مشہور شہر ہے
پاکستان کا بجٹ کیا ہے؟,جس میدان میں
قومی جانور,مارخور پاکستان کا قومی جانور ہے
بھٹی کا بھائی؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
قومی برادری کیا ہے؟,چاکور پاکستان کی قومی نسل ہے
پاکستان کی اہم فصلیں کیا ہیں؟,چاول اور گندم پاکستان کی بڑی فصلیں ہیں
کراچی میں موسم کیا ہے؟,وہاں اس کے گرم
پاکستان کا بانی کون ہے؟,قائداعظم پاکستان کا بانی ہے
پاکستان کا بجٹ,جس میدان میں
مجھے بجٹ کے بارے میں بتاؤ؟,جس میدان میں
پاکستان کا بجٹ کیا ہے؟,جس میدان میں
پاکستان کہاں ہے,اس سے اپ کا کیا مطلب ہے
پاکستان کب پیدا ہوا تھا؟,یہ 14 اگست 1947 کو پیدا ہوا تھا
پاکستان کو اگلے ڈیم کی تعمیر کرنا چاہئے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی قومی زبان؟,اردو پاکستان کی قومی زبان ہے
مجھے پاکستان کی قومی زبان کے بارے میں بتاؤ؟,اردو پاکستان کی قومی زبان ہے
پاکستان کی قومی زبان کیا ہے؟,اردو پاکستان کی قومی زبان ہے
پاکستان کو اگلے ڈیم کی تعمیر کرنا چاہئے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
عمران خان,وہ پاکستان کا سابق کھلاڑی ہے
کیوں گونگا؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا بانی کون ہے؟,قائداعظم پاکستان کا بانی ہے
مجھے ٹیم کے بارے میں بتاؤ جنہوں نے 1992 کی دنیا کی دنیا کو جیت لیا؟,پاکستان نے 1992 کا عالمی کپ جیت لیا
1992 ورلڈ کپ جیت لیا؟,پاکستان نے 1992 کا عالمی کپ جیت لیا
1992 میں کرکٹ ورلڈ کپ کس نے جیت لیا؟,پاکستان نے 1992 کا عالمی کپ جیت لیا
پوٹاہر خطے کی آبادی کیا ہے؟,وہاں اس کا گرم ہوا
مجھے لہر میں موجودہ موسم کے بارے میں بتاؤ؟,وہاں اس کا گرم ہوا
لہر کی موجودہ موسم؟,وہاں اس کا گرم ہوا
لہر کی موجودہ موسم کیا ہے؟,وہاں اس کا گرم ہوا
پاکستان کرکٹ ٹیم اب کیا مقام ہے؟,جس میں شکل؟
پاکستان کی طرف سے درآمد کردہ سامان؟,مشینری پاکستان کی بڑی درآمد ہے
پاکستان کی درآمد کیا سامان ہیں؟,مشینری پاکستان کی بڑی درآمد ہے
بنیادی طور پر پاکستان کی طرف سے درآمد کیا سامان ہیں؟,مشینری پاکستان کی بڑی درآمد ہے
پاکستان کی قومی زبان؟,اردو پاکستان کی قومی زبان ہے
قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان کا وزیراعظم کون ہے؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
فائپ,اس سے اپ کا کیا مطلب ہے
ہیلو,ہائے. آپ کیسے ہو
پاکستان میں ڈیم,پاکستان میں بہت سارے بندے ہیں، کچھ بڑے ڈیموں کے تار اور منگللا ہیں
پاکستان کرکٹ ٹیم کا بہترین کپتان کون ہے؟,عمران خان
پاکستان کرکٹ ٹیم کا بہترین کپتان؟,عمران خان
پاکستان کرکٹ ٹیم کپتان کون تھا جب پاکستان نے 1992 کے کرکٹ ورلڈ کپ جیت لیا؟,عمران خان
پاکستان کے مشہور گلوکار کون ہے؟,علی ظفر پاکستان کے مشہور گلوکار ہے
بھٹی کا باپ کون ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
